PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
353.58,95.54,8.53,16.83,23.94,10.47,1.17,9.43,38.86,1.4,9.8,2.38,510.0,Severe
65.95,107.3,3.32,10.53,12.46,10.46,0.82,7.15,43.44,1.08,5.04,1.14,235.0,Poor
50.22,95.03,5.37,9.25,13.29,10.42,0.79,7.02,41.45,0.75,4.14,0.61,115.0,Moderate
53.47,101.93,5.49,10.41,14.59,10.48,0.9,5.88,43.55,0.82,4.75,0.79,113.0,Moderate
48.65,96.82,5.28,7.94,11.87,10.4,0.89,6.79,26.1,0.84,9.74,0.82,109.0,Moderate
29.42,80.62,5.32,8.1,12.09,10.31,0.87,6.07,24.43,0.75,3.83,0.93,100.0,Satisfactory
36.27,91.18,5.66,9.6,13.87,10.32,0.79,5.97,22.35,0.9,4.51,1.28,99.0,Satisfactory
33.01,93.99,5.84,9.41,13.91,10.39,0.92,5.34,27.62,0.79,4.42,0.89,98.0,Satisfactory
38.91,86.74,5.26,8.86,12.81,10.29,0.88,5.35,33.92,0.81,3.43,0.9,102.0,Moderate
48.34,98.72,5.38,10.22,14.24,10.26,1.08,5.22,39.26,0.98,5.35,1.07,106.0,Moderate
50.06,88.76,5.58,12.11,16.27,10.21,1.0,7.78,45.55,0.95,5.37,1.11,110.0,Moderate
63.29,99.76,5.44,12.41,16.46,10.27,1.08,5.8,44.08,1.02,5.7,2.22,117.0,Moderate
65.76,105.71,5.35,12.36,16.33,10.37,1.1,6.89,47.03,0.93,5.53,2.3,129.0,Moderate
43.36,96.52,5.14,10.03,13.7,10.16,0.87,5.59,40.23,0.81,3.71,0.92,118.0,Moderate
38.93,85.11,5.41,8.1,12.18,10.3,0.77,5.48,40.82,0.74,3.34,0.75,100.0,Satisfactory
41.44,75.47,5.62,9.64,13.89,10.33,0.75,5.85,38.46,0.71,3.85,2.11,98.0,Satisfactory
50.81,86.52,7.07,13.18,18.89,10.29,1.33,9.26,41.84,0.92,4.24,1.47,118.0,Moderate
60.66,98.21,8.12,15.99,22.67,10.27,1.14,5.09,32.62,1.3,6.92,2.93,121.0,Moderate
63.93,96.69,8.2,16.48,23.29,10.31,1.11,6.07,36.32,1.17,7.49,1.65,117.0,Moderate
63.41,109.62,6.11,13.84,18.54,10.33,0.96,6.19,38.78,1.19,5.73,1.42,135.0,Moderate
57.96,98.74,5.5,8.84,12.98,10.27,0.82,6.35,47.36,0.67,3.83,0.8,121.0,Moderate
63.41,96.78,5.24,8.98,12.78,10.26,0.86,6.13,46.51,0.8,4.04,1.44,126.0,Moderate
48.22,87.46,5.67,8.51,12.81,10.29,0.85,4.96,25.95,0.73,3.83,1.86,109.0,Moderate
49.29,83.28,5.47,13.73,18.23,10.11,0.83,5.05,30.63,0.64,3.29,0.76,106.0,Moderate
52.53,91.79,4.46,2.57,4.54,9.14,1.01,4.48,45.44,1.19,5.25,1.36,95.0,Satisfactory
65.12,98.55,5.36,2.69,5.31,10.32,1.37,6.6,36.69,2.36,12.1,3.37,111.0,Moderate
56.19,105.42,5.62,3.0,5.66,10.22,1.66,9.28,28.03,2.99,15.19,5.6,112.0,Moderate
56.72,103.22,5.51,3.09,5.83,10.4,1.53,12.25,45.66,3.02,21.34,5.59,121.0,Moderate
77.4,101.33,10.15,14.08,22.41,10.39,1.68,10.62,42.17,2.3,12.17,4.36,123.0,Moderate
73.6,105.96,5.26,10.41,14.27,10.31,0.85,5.67,53.31,0.93,5.12,1.42,160.0,Moderate
73.9,104.01,5.61,11.53,15.68,10.34,1.01,6.29,52.35,0.9,5.75,1.04,151.0,Moderate
61.09,106.24,5.46,11.4,15.49,10.35,0.91,4.08,49.85,0.93,4.36,1.21,134.0,Moderate
69.37,108.55,5.36,9.86,13.88,10.29,1.0,3.7,62.11,0.87,3.77,0.88,141.0,Moderate
64.25,111.27,5.24,9.19,13.03,10.31,1.18,4.33,55.42,0.72,3.6,0.88,138.0,Moderate
58.28,101.14,5.44,11.1,15.26,10.12,1.12,3.25,50.93,0.86,3.61,0.84,123.0,Moderate
